player,season_end_year,age,position_group_model,comp,target_market_value,predicted_log_value,expected_market_value_raw,undervaluation_raw
Dimitri Foulquier,2021,27.0,DF,La Liga,3500000.0,14.67315383207848,2357596.929256839,-1142403.0707431608
Luca Unbehaun,2021,19.0,GK,Bundesliga,1500000.0,12.776501930327282,353804.2609104786,-1146195.7390895213
Noah Atubolu,2022,19.0,GK,Bundesliga,1500000.0,12.776501930327282,353804.2609104786,-1146195.7390895213
Ivo GrbiÄ,2024,28.0,GK,Premier League,3500000.0,14.670613562902995,2351615.5962233725,-1148384.4037766275
Loren MorÃ³n,2023,28.0,FW,La Liga,2000000.0,13.654745149850061,851490.8007460283,-1148509.1992539717
Patrick Osterhage,2023,22.0,MF,Bundesliga,4000000.0,14.862817593594283,2849964.9180497187,-1150035.0819502813
Gonzalo Montiel,2024,27.0,DF,Premier League,10000000.0,15.995745565263759,8848384.449568102,-1151615.5504318979
M'Baye Niang,2022,26.0,FW,Ligue 1,3500000.0,14.668469526733462,2346579.046386079,-1153420.953613921
Yacine Adli,2020,19.0,MF,Ligue 1,6300000.0,15.453754203594599,5146122.15436604,-1153877.8456339603
Sebastiano Luperto,2024,27.0,DF,Serie A,3500000.0,14.668163982179173,2345862.1711559417,-1154137.8288440583
Benjamin Lecomte,2024,33.0,GK,Ligue 1,3500000.0,14.667876539986796,2345187.968004866,-1154812.031995134
Iago Falque,2020,29.0,MF,Serie A,6000000.0,15.39345715106254,4844995.839876604,-1155004.1601233957
Lorenzo Colombo,2024,22.0,FW,Serie A,6000000.0,15.393041033069235,4842980.168921585,-1157019.8310784148
Daniel MartÃ­n,2023,24.0,GK,La Liga,1500000.0,12.744427013183937,342636.053615223,-1157363.946384777
Fabien Centonze,2023,26.0,DF,Ligue 1,4000000.0,14.86012017877689,2842287.73667966,-1157712.2633203398
Luca Unbehaun,2022,20.0,GK,Bundesliga,1500000.0,12.74303135641732,342158.18344179046,-1157841.8165582095
Youssouf Ndayishimiye,2025,25.0,DF,Ligue 1,12000000.0,16.198870480765464,10841266.560504686,-1158733.439495314
Koffi Djidji,2020,26.0,DF,Serie A,3000000.0,14.425913582566137,1841172.2874030287,-1158827.7125969713
KÃ©vin Malcuit,2021,29.0,DF,Serie A,3500000.0,14.666081597998758,2340982.2654815014,-1159017.7345184986
Lukas KÃ¼bler,2022,28.0,DF,Bundesliga,2300000.0,13.947364304304111,1140940.4402025342,-1159059.5597974658
Niclas FÃ¼llkrug,2021,27.0,FW,Bundesliga,4000000.0,14.859507108891103,2840545.7490831185,-1159454.2509168815
Jandrei,2020,26.0,GK,Serie A,1400000.0,12.384189778254564,238992.05651534282,-1161007.9434846572
Jean-Victor Makengo,2022,23.0,MF,Serie A,7500000.0,15.662074271604054,6338001.867128366,-1161998.1328716343
Youssouf Sabaly,2023,29.0,DF,La Liga,5000000.0,15.160322760636678,3837464.8071028353,-1162535.1928971647
Jean-Eudes Aholou,2021,26.0,MF,Ligue 1,4000000.0,14.858288209980659,2837085.5190093378,-1162914.4809906622
