player,season_end_year,age,position_group_model,comp,target_market_value,predicted_log_value,expected_market_value_raw,undervaluation_raw
Jeremy Ngakia,2020,18.0,DF,Premier League,250000.0,15.856869033351273,7701062.801739247,7451062.801739247
Jayden Braaf,2021,17.0,FW,Serie A,3000000.0,16.16183837489331,10447134.40521408,7447134.405214081
Kean Bryan,2021,23.0,DF,Premier League,2000000.0,16.059317701112093,9429160.205825519,7429160.205825519
Florian AyÃ©,2025,27.0,FW,Ligue 1,1500000.0,16.003864940836962,8920520.266854769,7420520.266854769
RaÃºl JimÃ©nez,2025,33.0,FW,Premier League,5000000.0,16.334857493048805,12420481.632930795,7420481.632930795
JosÃ© CampaÃ±a,2025,31.0,MF,La Liga,1300000.0,15.979411859902967,8705031.458555412,7405031.458555412
Boubacar TraorÃ©,2021,18.0,MF,Ligue 1,150000.0,15.83731774961753,7551959.44884511,7401959.44884511
Samuel SÃ¡iz,2023,31.0,MF,La Liga,900000.0,15.919595534646202,8199595.753691531,7299595.753691531
Assane DioussÃ©,2020,21.0,MF,Ligue 1,2400000.0,16.086776489712904,9691661.034167513,7291661.034167513
Dean Huijsen,2025,19.0,DF,Premier League,15000000.0,16.919425137556644,22285016.23063162,7285016.23063162
Wahidullah Faghir,2022,18.0,FW,Bundesliga,3000000.0,16.14470709006237,10269685.853553066,7269685.853553066
Kevin Strootman,2020,29.0,MF,Ligue 1,8000000.0,16.54125825953008,15267824.437111229,7267824.437111229
Gabriel Osho,2024,25.0,DF,Premier League,3000000.0,16.142653470435803,10248617.46370578,7248617.46370578
Rouwen Hennings,2020,31.0,FW,Bundesliga,1500000.0,15.984290237445709,8747601.645706806,7247601.645706806
Carlos Dominguez,2023,21.0,DF,La Liga,800000.0,15.896572097096486,8012969.482856967,7212969.482856967
Roberto Soldado,2021,35.0,FW,La Liga,1200000.0,15.944838956515078,8409216.272026552,7209216.272026552
Aaron Leya Iseka,2021,22.0,FW,Ligue 1,2500000.0,16.088532281174093,9708692.519104354,7208692.519104354
Matteo Ahlinvi,2021,21.0,MF,Ligue 1,1000000.0,15.920542137046937,8207361.186472432,7207361.186472432
Oriol Romeu,2022,29.0,MF,Premier League,5000000.0,16.31671798513116,12197211.318756592,7197211.3187565915
Jessic Ngankam,2021,20.0,FW,Bundesliga,1200000.0,15.939802384330564,8366969.121938362,7166969.121938362
Diego Farias,2021,30.0,FW,Serie A,2500000.0,16.083344157147007,9658453.049974447,7158453.049974447
Chris Wood,2023,30.0,FW,Premier League,8000000.0,16.534009467096844,15157551.296024123,7157551.296024123
Mario HernÃ¡ndez,2023,23.0,DF,La Liga,600000.0,15.863411033583555,7751608.317035974,7151608.317035974
Angelo Ogbonna,2022,33.0,DF,Premier League,1200000.0,15.927697881654877,8266301.603969152,7066301.603969152
Carlos GarcÃ­a,2023,22.0,DF,La Liga,200000.0,15.78860357061962,7192888.816816424,6992888.816816424
